uID, link, desig, details, org, loc, exp, keyskills, descl, salary, date 
493,https://www.naukri.com/job-listings-HR-Executive-Glorious-Insight-Pvt-Ltd-Noida-Sector-136-Noida-0-to-2-years-300517007072?src=jobsearchDesk&sid=14965021338248&xp=44,HR Executive,HR Executive,Glorious Insight Pvt Ltd,Noida(Sector-136 Noida),0-2 yrs,HR Functions- Recruitment- Payroll Management- Attendance- Administration...,Â The person should be able to handle day to day HR functions like : 1) Payroll Management 2 ...,150000 - 300000 P.A.,4
494,https://www.naukri.com/job-listings-HR-Recruiter-Neev-Knowledge-Management-Private-Ltd-Mumbai-1-to-3-years-300517007071?src=jobsearchDesk&sid=14965021338248&xp=45,HR Recruiter,HR Recruiter,Neev Knowledge Management Private Ltd,Mumbai,1-3 yrs,Recruitment- Screening- Sourcing- HR- Conducting Interviews- Mapping...,"Roles & Responsibilities:  	Responsible for end to end recruitment. 	Sourcing & ...",175000 - 300000 P.A.,4
495,https://www.naukri.com/job-listings-HR-IT-Recruiter-Sailotech-Pvt-Ltd-Hyderabad-0-to-2-years-300517006895?src=jobsearchDesk&sid=14965021338248&xp=46,HR IT Recruiter,HR IT Recruiter,Sailotech Pvt Ltd,Hyderabad,0-2 yrs,Recruitment and Staffing- HR Recruiter- IT Recruiter- hr recruitment...,We are currently looking for IT recruiters with 0.6- 2 years of strong experience in handling IT ...,Not disclosed,4
496,https://www.naukri.com/job-listings-Jr-HR-Generalist-Koru-Technologies-Pune-1-to-3-years-300517006451?src=jobsearchDesk&sid=14965021338248&xp=47,Jr. HR Generalist,Jr. HR Generalist,Koru Technologies,Pune,1-3 yrs,HR Generalist Activities- Training- Payroll Processing- Exit Formalities...,Â  ...,Not disclosed,3
497,https://www.naukri.com/job-listings-Senior-HR-Executive-Miracle-Coro-Plast-Pvt-Ltd-Jaipur-2-to-5-years-300517006229?src=jobsearchDesk&sid=14965021338248&xp=48,Senior HR Executive,Senior HR Executive,Miracle Coro Plast Pvt. Ltd.,Jaipur,2-5 yrs,Senior HR- Recruitment- Grievance Handling- Payroll- Time Management...,Miracle Group of Companies is looking HR Executive.   Job Description:-  Recruitment ...,200000 - 300000 P.A.,4
498,https://www.naukri.com/job-listings-HR-MIS-Executive-Walplast-Products-Pvt-Ltd-Navi-Mumbai-1-to-4-years-300517005871?src=jobsearchDesk&sid=14965021338248&xp=49,HR MIS Executive,HR MIS Executive,Walplast Products Pvt Ltd,Navi Mumbai,1-4 yrs,HR MIS- Payroll- MIS Operations- Excel- advanced excel...,  Work on development of HR MIS and publish daily dashboards.Â   Reconcile the ...,150000 - 250000 P.A.,2
499,https://www.naukri.com/job-listings-HR-Manager-G-K-Kedia-Co-Chartered-Accountants-Delhi-Connaught-Place-2-to-7-years-300517005385?src=jobsearchDesk&sid=14965021338248&xp=50,HR Manager,HR Manager,G. K. Kedia & Co. Chartered Accountants,Delhi(Connaught Place),2-7 yrs,HR Manager- hr executive- human resource manager- administator..., You have to do HR function in the Company.  You have to do administrative function. ...,125000 - 175000 P.A. Above salary is CTC. PF & ESI ...,4
500,https://www.naukri.com/job-listings-Urgent-Requirement-for-HR-Generalist-In-Top-MNC-at-Bangalore-Location-IDC-TECHNOLOGIES-SOLUTIONS-INDIA-PVT-LIMITED-Bengaluru-1-to-4-years-300517005202?src=jobsearchDesk&sid=14965021358972&xp=1,Urgent Requirement for HR Generalist In Top MNC at Bangalore Location,Urgent Requirement for HR Generalist In Top MNC at Bangalore Location,IDC TECHNOLOGIES SOLUTIONS INDIA PVT LIMITED,Bengaluru,1-4 yrs,HR Generalist Activities- Recruitment- HR Administration- MS Office..., ,Not disclosed,4
501,https://www.naukri.com/job-listings-Urgent-Opportunity-for-HR-Business-Partner-Noida-6-to-8-Years-Techs-to-Suit-Inc-Noida-6-to-8-years-290517006159?src=jobsearchDesk&sid=14965021358972&xp=2,Urgent Job Opportunity for HR Business Partner // Noida //6 to 8 Years,Urgent Job Opportunity for HR Business Partner // Noida //6 to 8 Years,Techs to Suit Inc,Noida,6-8 yrs,HR- Talent Management- Business Partnering- Performance Management...,Supports the Implementation and design of various human resources plans- programs and procedures. ...,Not disclosed,5
502,https://www.naukri.com/job-listings-HR-Manager-For-a-Leading-Apparel-Company-Sri-Ganapathy-Silks-Theni-3-to-8-years-300517005200?src=jobsearchDesk&sid=14965021358972&xp=3,HR Manager - For a Leading Apparel Company,HR Manager - For a Leading Apparel Company,Sri Ganapathy Silks,Theni,3-8 yrs,HR- Employee Engagement- Employee Grievances- Performance Management System...,"1)	Employee engagement activities. 2)	Motivate the employees. 3)	Training & development ...",Not disclosed,4
503,https://www.naukri.com/job-listings-Wipro-Hiring-FOR-HR-Executive-talent-Acquisition-Noida-Wipro-BPS-A-division-of-Wipro-Limited-Noida-0-to-1-years-290517003881?src=jobsearchDesk&sid=14965021358972&xp=4,Wipro Hiring FOR HR Executive  |talent Acquisition |@ Noida,Wipro Hiring FOR HR Executive  |talent Acquisition |@ Noida,Wipro BPS (A division of Wipro Limited),Noida,0-1 yrs,Recruitment- HR- Head Hunting- Talent Acquisition- Hiring- Interviewing...,  WIPRO HIRING FOR HR EXECUTIVE |TALENT ACQUISITION|OFF ROLE POSITION @ NOIDA ON (30-31 MAY 2017 ...,50000 - 175000 P.A. CABS,5
504,https://www.naukri.com/job-listings-MALE-HR-Executive-legal-Compliances-Negolice-India-Ltd-M2K-Group-Delhi-2-to-4-years-300517004368?src=jobsearchDesk&sid=14965021358972&xp=5,MALE HR Executive-legal Compliances,MALE HR Executive-legal Compliances,Negolice India Ltd. (M2K Group),Delhi,2-4 yrs,HR- Recruitment- Bonus Act- Contract Labour- Statutory Compliance...,"1.	Preparing Payroll (PF- ESIC- PT and LWF) & Shops and Establishment Statutory compliance and Audit ...",175000 - 225000 P.A.,2
505,https://www.naukri.com/job-listings-HR-Executive-Recruitment-male-Only-Intelenet-Global-Services-Private-Limited-Noida-1-to-2-years-270517000704?src=jobsearchDesk&sid=14965021358972&xp=6,HR Executive - Recruitment(male Only),HR Executive - Recruitment(male Only),Intelenet Global Services Private Limited,Noida,1-2 yrs,Recruitment- Bulk Hiring- HR- Sourcing- Cold Calling- outbound calling...,Greetings Candidates-   Intelenet Global services is hiring for Recruitment Executive ...,200000 - 250000 P.A.,7
506,https://www.naukri.com/job-listings-HR-Manager-Rasandik-Auto-Components-pvt-Ltd-Hosur-10-to-20-years-300517004013?src=jobsearchDesk&sid=14965021358972&xp=7,HR Manager,HR Manager,Rasandik Auto Components pvt Ltd.,Hosur,10-20 yrs,Recruitment- HR- Human Resource Management- Factory administration,  Recruitment- Selection and Manpower planning for all categories of Personnel in factory ...,450000 - 550000 P.A.,2
507,https://www.naukri.com/job-listings-Naukri-com-is-Hiring-Senior-Executive-Human-Resources-Info-Edge-India-Ltd-Noida-0-to-2-years-270517000152?src=jobsearchDesk&sid=14965021358972&xp=8,Naukri.com is Hiring - Senior Executive Human Resources,Naukri.com is Hiring - Senior Executive Human Resources,Info Edge India Ltd.,Noida,0-2 yrs,Human Resources- HR Fresher- Recuitments- Talent Acquisition- Staffing..., Walk-in Details :       Date : 28th May 2017 (Sunday ...,300000 - 450000 P.A.,7
508,https://www.naukri.com/job-listings-HR-Manager-IT-Industry-Background-V-Assist-Services-Private-Limited-Mumbai-Lower-Parel-8-to-10-years-300517003691?src=jobsearchDesk&sid=14965021358972&xp=9,HR Manager (IT Industry Background),HR Manager (IT Industry Background),V-Assist Services Private Limited,Mumbai(Lower Parel),8-10 yrs,HR- Recruitment- Exit Interviews- Employee Training- Employee Grievances...," Areas of Responsibility & brief description 1.		Strategy Formulation: 	Contribute to ...",700000 - 900000 P.A.,4
509,https://www.naukri.com/job-listings-Urgent-Opening-Sr-HR-Executive-Bangalore-Magic-Holidays-Bengaluru-1-to-4-years-240517003477?src=jobsearchDesk&sid=14965021358972&xp=10,Urgent Opening - Sr. HR Executive- Bangalore,Urgent Opening - Sr. HR Executive- Bangalore,Magic Holidays,Bengaluru,1-4 yrs,Recruitment- timeshare hiring- sales hiring- employee relation- induction..., Preferred industry:- Â BPO- KPO - Insurance- Banking- FMCG - etc  Candidates who are ...,Not disclosed,4
510,https://www.naukri.com/job-listings-Urgently-Hiring-for-HR-Generalist-Location-Mumbai-Nagpur-KloudData-Labs-Pvt-Ltd-Navi-Mumbai-Nagpur-3-to-6-years-300517003540?src=jobsearchDesk&sid=14965021358972&xp=11,Urgently Hiring for HR Generalist- Location Mumbai & Nagpur,Urgently Hiring for HR Generalist- Location Mumbai & Nagpur,KloudData Labs Pvt. Ltd.,Navi Mumbai- Nagpur,3-6 yrs,HR Generalist Activities- HR MIS- Employee Induction- Employee Engagement..., ,Not disclosed,4
511,https://www.naukri.com/job-listings-HR-Manager-Simpli5d-Technologies-Pvt-Ltd-Gurgaon-1-to-3-years-300517002281?src=jobsearchDesk&sid=14965021358972&xp=12,HR Manager,HR Manager,Simpli5d Technologies Pvt Ltd,Gurgaon,1-3 yrs,HR- Human Resource Management,  The Candidate will be responsible for various recruitments- coordinating with the consultant ...,225000 - 325000 P.A.,4
512,https://www.naukri.com/job-listings-Urgent-Opening-for-Hr-Recruiter-hr-Executive-call-8800495001-gurgaon-Vinkom-Solutions-Gurgaon-Sohna-Road-0-to-3-years-300517002170?src=jobsearchDesk&sid=14965021358972&xp=13,Urgent Opening for Hr Recruiter/hr Executivecall -8800495001 gurgaon,Urgent Opening for Hr Recruiter/hr Executivecall -8800495001 gurgaon,Vinkom Solutions,Gurgaon(Sohna Road),0-3 yrs,Recruitment- Hiring- HR- Recruiter- junior Hr Executive- HR Executive...,Work with hiring managers on recruiting planning meetings. Create job descriptions. Lead the ...,125000 - 250000 P.A.,4
513,https://www.naukri.com/job-listings-HR-Manager-Optival-Health-Solutions-Pvt-Ltd-Bengaluru-4-to-5-years-300517001601?src=jobsearchDesk&sid=14965021358972&xp=14,HR Manager,HR Manager,Optival Health Solutions Pvt Ltd,Bengaluru,4-5 yrs,HR- Recruitment- Exit Interviews- Employee Training- Employee Grievances...,     Maintains the work structure by updating job requirements and job descriptions for all ...,Not disclosed,4
514,https://www.naukri.com/job-listings-Sr-HR-Manager-Compensation-and-Benefits-GE-India-Industrial-Private-Limited-Bengaluru-6-to-7-years-290517901574?src=jobsearchDesk&sid=14965021358972&xp=15,Sr HR Manager - Compensation and Benefits,Sr HR Manager - Compensation and Benefits,GE India Industrial Private Limited,Bengaluru,6-7 yrs,HR- Recruitment- Compensation- Talent Management- Benefits Administration...,This role is responsible for overseeing and implementing the Compensation and benefits programs for one/m ...,Not disclosed,4
